"Result:vUSN lu PDP(2026-06-02 150028)_20260602_145627.csv"
"Save Time:2026-06-02 14:56:27"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:Iu mode SM resource"

"Total 854 records"

"Start Time","Period (min)","NE Name","UsnFunction","Iu mode maximum active PDP context (number)"
"2026-05-01 17:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","36310"
"2026-05-01 18:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","42724"
"2026-05-01 19:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","46182"
"2026-05-01 20:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","47610"
"2026-05-01 21:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","42537"
"2026-05-01 22:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","32656"
"2026-05-01 23:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","23808"
"2026-05-02 00:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","19262"
"2026-05-02 01:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","17387"
"2026-05-02 02:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","16633"
"2026-05-02 03:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","16381"
"2026-05-02 04:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","17890"
"2026-05-02 05:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","24653"
"2026-05-02 06:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","30591"
"2026-05-02 07:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","32421"
"2026-05-02 08:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33601"
"2026-05-02 09:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33807"
"2026-05-02 10:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33951"
"2026-05-02 11:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33768"
"2026-05-02 12:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33826"
"2026-05-02 13:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33973"
"2026-05-02 14:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33963"
"2026-05-02 15:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33066"
"2026-05-02 16:00:00","60","CLOUDUSN","nodeName=usn, USN Function Configuration Name=USN_VNFC","33193"
