"Result:4G bearer SGW-C and PGW-C(1)(2026-06-02 153401)_20260602_153225.csv"
"Save Time:2026-06-02 15:32:25"
"User Name:fraser.msusa"


"NE Type Name:vUGW"

"NE Names:LLG_vCGW01;LLG_vDGW01;LMB_vCGW01;LMB_vDGW01"

"Function Subset Name:SGW-C and PGW-C combined Basic session performance measurement"

"Total 558 records"

"Start Time","Period (min)","NE Name","CGW function","SGW-C and PGW-C combined current active bearers (number)","SGW-C and PGW-C combined current active sessions (number)","SGW-C and PGW-C combined Max number of Active EPS Bearers (number)"
"2026-05-24 12:00:00","60","LMB_vCGW01","nodeName=cgw","484060","484010","484764"
"2026-05-24 12:00:00","60","LLG_vCGW01","nodeName=cgw","506697","506539","506777"
"2026-05-24 13:00:00","60","LMB_vCGW01","nodeName=cgw","486537","486471","486570"
"2026-05-24 13:00:00","60","LLG_vCGW01","nodeName=cgw","507194","507048","507512"
"2026-05-24 14:00:00","60","LMB_vCGW01","nodeName=cgw","490357","490295","490357"
"2026-05-24 14:00:00","60","LLG_vCGW01","nodeName=cgw","508710","508561","508834"
"2026-05-24 15:00:00","60","LMB_vCGW01","nodeName=cgw","493939","493890","493978"
"2026-05-24 15:00:00","60","LLG_vCGW01","nodeName=cgw","509014","508855","509116"
"2026-05-24 16:00:00","60","LLG_vCGW01","nodeName=cgw","511699","511534","511777"
"2026-05-24 16:00:00","60","LMB_vCGW01","nodeName=cgw","500311","500254","500311"
"2026-05-24 17:00:00","60","LMB_vCGW01","nodeName=cgw","515948","515890","515948"
"2026-05-24 17:00:00","60","LLG_vCGW01","nodeName=cgw","519017","518829","519057"
"2026-05-24 18:00:00","60","LMB_vCGW01","nodeName=cgw","532514","532450","532701"
"2026-05-24 18:00:00","60","LLG_vCGW01","nodeName=cgw","525857","525681","526871"
"2026-05-24 19:00:00","60","LMB_vCGW01","nodeName=cgw","533712","533645","535127"
"2026-05-24 19:00:00","60","LLG_vCGW01","nodeName=cgw","522053","521846","525734"
"2026-05-24 20:00:00","60","LMB_vCGW01","nodeName=cgw","515674","515632","533659"
"2026-05-24 20:00:00","60","LLG_vCGW01","nodeName=cgw","503083","502908","521973"
"2026-05-24 21:00:00","60","LMB_vCGW01","nodeName=cgw","487363","487330","515576"
"2026-05-24 21:00:00","60","LLG_vCGW01","nodeName=cgw","483466","483354","502954"
"2026-05-24 22:00:00","60","LMB_vCGW01","nodeName=cgw","465177","465160","487221"
"2026-05-24 22:00:00","60","LLG_vCGW01","nodeName=cgw","463856","463786","483352"
"2026-05-24 23:00:00","60","LMB_vCGW01","nodeName=cgw","452001","451990","465005"
"2026-05-24 23:00:00","60","LLG_vCGW01","nodeName=cgw","452405","452364","463657"
"2026-05-25 00:00:00","60","LMB_vCGW01","nodeName=cgw","443986","443979","450876"
"2026-05-25 00:00:00","60","LLG_vCGW01","nodeName=cgw","444574","444538","450934"
"2026-05-25 01:00:00","60","LMB_vCGW01","nodeName=cgw","441590","441583","443922"
