"Result:vMGW License Usage(2026-06-02 154429)_20260602_154545.csv"
"Save Time:2026-06-02 15:45:45"
"User Name:fraser.msusa"


"NE Type Name:CloudSE2980"

"NE Names:CloudSBC01_SBC;LLWVMGW01;LMBVMGW01"

"Function Subset Name:License Resource Usage Measurement (MGW)"

"Total 837 records"

"Start Time","Period (min)","NE Name","Software System","License Resource Usage for Basic Software on the MGW (%)"
"2026-05-24 13:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 13:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","33"
"2026-05-24 13:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","23"
"2026-05-24 14:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 14:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","33"
"2026-05-24 14:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","23"
"2026-05-24 15:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","35"
"2026-05-24 15:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 15:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","24"
"2026-05-24 16:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 16:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","40"
"2026-05-24 16:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","27"
"2026-05-24 17:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 17:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","52"
"2026-05-24 17:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","38"
"2026-05-24 18:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 18:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","55"
"2026-05-24 18:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","43"
"2026-05-24 19:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 19:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","57"
"2026-05-24 19:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","43"
"2026-05-24 20:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 20:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","55"
"2026-05-24 20:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","41"
"2026-05-24 21:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 21:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","36"
"2026-05-24 21:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","25"
"2026-05-24 22:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 22:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","15"
"2026-05-24 22:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","11"
"2026-05-24 23:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-24 23:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","5"
"2026-05-24 23:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","4"
"2026-05-25 00:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 00:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","2"
"2026-05-25 00:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-25 01:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 01:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-25 01:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-25 02:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 02:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-25 03:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 03:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","2"
"2026-05-25 03:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","1"
"2026-05-25 04:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 04:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","6"
"2026-05-25 04:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","4"
"2026-05-25 05:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 05:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","24"
"2026-05-25 05:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","17"
"2026-05-25 06:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 06:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-25 06:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-25 07:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
"2026-05-25 07:00:00","60","LLWVMGW01","System ID=0, System name=CloudSE2980","29"
"2026-05-25 07:00:00","60","LMBVMGW01","System ID=0, System name=CloudSE2980","21"
"2026-05-25 08:00:00","60","CloudSBC01_SBC","System ID=0, System name=CloudSE2980","0"
